chapter	animation	source_file	author	license	page_url
ch01	Homeostasis	1805 Negative Feedback Loop.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1805_Negative_Feedback_Loop.jpg
ch01	LevelsOfOrganization	101 Levels of Org in Body.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:101_Levels_of_Org_in_Body.jpg
ch01	OrganSystems	Organ Systems I.jpg	Connexions	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Organ_Systems_I.jpg
ch01	DirectionalTerms	Directional Terms.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Directional_Terms.jpg
ch01	BodyPlanes	Planes of Body labeled.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Planes_of_Body_labeled.jpg
ch01	BodyCavities	Dorsal Ventral Body Cavities.jpg	Connexions	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Dorsal_Ventral_Body_Cavities.jpg
ch02	AtomicStructure	206 Electron Shells-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:206_Electron_Shells-01.jpg
ch02	ChemicalBonds	207 Ionic Bonding-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:207_Ionic_Bonding-01.jpg
ch02	ChemicalReactions	211 Three Fundamental Chemical Reactions-01.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:211_Three_Fundamental_Chemical_Reactions-01.jpg
ch02	WaterSolvent	210 Hydrogen Bonds Between Water Molecules-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:210_Hydrogen_Bonds_Between_Water_Molecules-01.jpg
ch02	pHScale	216 pH Scale-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:216_pH_Scale-01.jpg
ch03	CellMembrane	1215 Cell Membrane Channels.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1215_Cell_Membrane_Channels.jpg
ch03	MembraneTransport	0305 Simple Diffusion Across Plasma Membrane.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:0305_Simple_Diffusion_Across_Plasma_Membrane.jpg
ch03	OrganelleTour	0312 Animal Cell and Components.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:0312_Animal_Cell_and_Components.jpg
ch03	ProteinSynthesis	0328 Transcription-translation Summary.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:0328_Transcription-translation_Summary.jpg
ch03	CellCycle	0329 Cell Cycle.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:0329_Cell_Cycle.jpg
ch03	Tonicity	0307 Osmosis.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:0307_Osmosis.jpg
ch04	TissueTypes	401 Types of Tissue.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:401_Types_of_Tissue.jpg
ch04	EpithelialTypes	403 Epithelial Tissue.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:403_Epithelial_Tissue.jpg
ch04	ConnectiveTissue	408 Connective Tissue.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:408_Connective_Tissue.jpg
ch04	MuscleTissue	414 Skeletal Smooth Cardiac.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:414_Skeletal_Smooth_Cardiac.jpg
ch04	NervousTissue	415 Neuron.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:415_Neuron.jpg
ch04	TissueRepair	417 Tissue Repair.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:417_Tissue_Repair.jpg
ch05	SkinLayers	501 Structure of the skin.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:501_Structure_of_the_skin.jpg
ch05	EpidermalStrata	503 Epidermis.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:503_Epidermis.jpg
ch05	SkinColorMelanin	504 Melanocytes.jpg	OpenStax College		CC BY 3.0
ch05	SkinAccessories	511 Hair Follicle.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:511_Hair_Follicle.jpg
ch05	SkinFunctions	515 Thermoregulation.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:515_Thermoregulation.jpg
ch05	BurnsAndCancer	519 Melanoma.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:519_Melanoma.jpg
ch06	SkeletonFunctions	701 Axial Skeleton-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:701_Axial_Skeleton-01.jpg
ch06	BoneClassification	Blausen 0229 ClassificationofBones.png	BruceBlaus		CC BY 3.0
ch06	LongBoneAnatomy	603 Anatomy of Long Bone.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:603_Anatomy_of_Long_Bone.jpg
ch06	BoneRemodeling	Bone regeneration - Bone remodeling cycle 3 -- Smart-Servier.png	Laboratoires Servier		CC BY-SA 3.0
ch06	CalciumHomeostasis	1817 The Role of Parathyroid Hormone in Maintaining Blood Calcium Homeostasis.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1817_The_Role_of_Parathyroid_Hormone_in_Maintaining_Blood_Calcium_Homeostasis.jpg
ch06	Fractures	612 Types of Fractures.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:612_Types_of_Fractures.jpg
ch07	AxialAppendicular	701 Axial Skeleton-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:701_Axial_Skeleton-01.jpg
ch07	TheSkull	705 Lateral View of Skull-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:705_Lateral_View_of_Skull-01.jpg
ch07	VertebralColumn	715 Vertebral Column.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:715_Vertebral_Column.jpg
ch07	TypicalVertebra	718 Vertebra.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:718_Vertebra.jpg
ch07	ThoracicCage	721 Rib Cage.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:721_Rib_Cage.jpg
ch07	SpinalCurvatures	717 Abnormal Curves of Vertebral Column.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:717_Abnormal_Curves_of_Vertebral_Column.jpg
ch08	PectoralGirdle	802 Pectoral Girdle.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:802_Pectoral_Girdle.jpg
ch08	UpperLimb	805 Ulna and Radius.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:805_Ulna_and_Radius.jpg
ch08	HandWrist	806 Hand and Wrist.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:806_Hand_and_Wrist.jpg
ch08	PelvicGirdle	809 Male Female Pelvic Girdle.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:809_Male_Female_Pelvic_Girdle.jpg
ch08	LowerLimb	811 Tibia and fibula.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:811_Tibia_and_fibula.jpg
ch08	FootAnkle	812 Bones of the Foot.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:812_Bones_of_the_Foot.jpg
ch09	JointClassification	904 Fibrous Joints.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:904_Fibrous_Joints.jpg
ch09	SynovialJointTypes	907 Synovial Joints.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:907_Synovial_Joints.jpg
ch09	SynovialJointStructure	907 Synovial Joints.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:907_Synovial_Joints.jpg
ch09	BodyMovements	Flexion and extension movements.jpg	OpenStax	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Flexion_and_extension_movements.jpg
ch09	FibrousCartilaginousJoints	904 Fibrous Joints.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:904_Fibrous_Joints.jpg
ch09	SelectedJoints	917 Knee Joint.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:917_Knee_Joint.jpg
ch10	MuscleOrganization	1002 Organization of Muscle Fiber.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1002_Organization_of_Muscle_Fiber.jpg
ch10	TheSarcomere	Cardiac sarcomere structure.png	Mohamed Elshennawy, M.D.		CC BY-SA 4.0
ch10	SlidingFilament	1006 Sliding Filament Model of Muscle Contraction.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1006_Sliding_Filament_Model_of_Muscle_Contraction.jpg
ch10	NeuromuscularJunction	1009 Motor End Plate and Innervation.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1009_Motor_End_Plate_and_Innervation.jpg
ch10	MotorUnits	1013 Summation Tetanus.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1013_Summation_Tetanus.jpg
ch10	MuscleFiberTypes	1022 Muscle Fibers (small).jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1022_Muscle_Fibers_(small).jpg
ch11	MuscleInteractions	Biceps Brachii Muscle Contraction.jpg	OpenStax	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Biceps_Brachii_Muscle_Contraction.jpg
ch11	NamingMuscles	1119 Muscles that Move the Humerus.jpg	OpenStax		CC BY 4.0
ch11	HeadNeckMuscles	1125 Muscles in Facial Expression.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1125_Muscles_in_Facial_Expression.jpg
ch11	TrunkMuscles	1112 Muscles of the Abdomen.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1112_Muscles_of_the_Abdomen.jpg
ch11	UpperLimbMuscles	1130 Muscles that Move the Forearm.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1130_Muscles_that_Move_the_Forearm.jpg
ch11	LowerLimbMuscles	1123 Muscles of the Leg that Move the Foot and Toes.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1123_Muscles_of_the_Leg_that_Move_the_Foot_and_Toes.jpg
ch12	NervousSystemOrganization	1300 Human Nervous System.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1300_Human_Nervous_System.jpg
ch12	Neuroglia	1210 Glial Cells of the PNS.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1210_Glial_Cells_of_the_PNS.jpg
ch12	RestingMembranePotential	1220 Resting Membrane Potential.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1220_Resting_Membrane_Potential.jpg
ch12	ActionPotential	1221 Action Potential.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1221_Action_Potential.jpg
ch12	SaltatoryConduction	1211 Myelinated Neuron.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1211_Myelinated_Neuron.jpg
ch12	TheSynapse	1225 Chemical Synapse.jpg	Young, KA., Wise, JA., DeSaix, P., Kruse, DH., Poe, B., Johnson, E., Johnson, JE., Korol, O., Betts, JG., &amp; Womble, M.	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1225_Chemical_Synapse.jpg
ch13	CerebralLobes	1306 Lobes of Cerebral CortexN.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1306_Lobes_of_Cerebral_CortexN.jpg
ch13	VentriclesCSF	1317 CFS Circulation.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1317_CFS_Circulation.jpg
ch13	SpinalCord	1313 Spinal Cord Cross Section.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1313_Spinal_Cord_Cross_Section.jpg
ch13	CranialNerves	1320 The Cranial Nerves.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1320_The_Cranial_Nerves.jpg
ch14	SensoryReceptors	1226 Receptor Types.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1226_Receptor_Types.jpg
ch14	TheEye	1413 Structure of the Eye.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1413_Structure_of_the_Eye.jpg
ch14	VisualPathway	1424 Visual Streams.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1424_Visual_Streams.jpg
ch14	TheEar	1406 Cochlea.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1406_Cochlea.jpg
ch14	TasteAndSmell	1402 The Tongue.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1402_The_Tongue.jpg
ch14	TheReflexArc	The extensor digitorum reflex.jpg	Zhang MJ, Zhu CZ, Duan ZM, Niu X. Department of Cardiology, Second Affiliated Hospital, School of Me		CC BY-SA 4.0
ch15	TwoDivisions	1503 Connections of the Parasympathetic Nervous System.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1503_Connections_of_the_Parasympathetic_Nervous_System.jpg
ch15	AutonomicPathways	1501 Connections of the Sympathetic Nervous System.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1501_Connections_of_the_Sympathetic_Nervous_System.jpg
ch15	FightOrFlight	1500 Fight or Flight.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1500_Fight_or_Flight.jpg
ch15	Neurotransmitters	1504 Autonomic Varicosities.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1504_Autonomic_Varicosities.jpg
ch15	BaroreceptorReflex	100 Blood Pressure.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:100_Blood_Pressure.jpg
ch15	SomaticVsAutonomic	1205 Somatic Autonomic Enteric StructuresN.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1205_Somatic_Autonomic_Enteric_StructuresN.jpg
ch16	TheNeuroExam	1300 Human Nervous System.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1300_Human_Nervous_System.jpg
ch16	MentalStatus	1605 Brocas and Wernickes Areas-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1605_Brocas_and_Wernickes_Areas-02.jpg
ch16	CranialNerveExam	1320 The Cranial Nerves.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1320_The_Cranial_Nerves.jpg
ch16	SensoryExam	1611 Dermatomes-02.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1611_Dermatomes-02.jpg
ch16	MotorExam	1426 Corticospinal Pathway.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1426_Corticospinal_Pathway.jpg
ch16	CoordinationGait	1312 CerebellumN.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1312_CerebellumN.jpg
ch17	EndocrineGlands	1801 The Endocrine System.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1801_The_Endocrine_System.jpg
ch17	HormoneAction	1802 Examples of Amine Peptide Protein and Steroid Hormone Structure.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1802_Examples_of_Amine_Peptide_Protein_and_Steroid_Hormone_Structure.jpg
ch17	PituitaryAxis	1810 Major Pituitary Hormones.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1810_Major_Pituitary_Hormones.jpg
ch17	BloodGlucose	1822 The Homostatic Regulation of Blood Glucose Levels.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1822_The_Homostatic_Regulation_of_Blood_Glucose_Levels.jpg
ch17	ThyroidAxis	1811 The Thyroid Gland.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1811_The_Thyroid_Gland.jpg
ch17	AdrenalGland	1818 The Adrenal Glands.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1818_The_Adrenal_Glands.jpg
ch18	BloodComposition	1901 Composition of Blood.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1901_Composition_of_Blood.jpg
ch18	FormedElements	1900 Blood cells.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1900_Blood_cells.jpg
ch18	Hematopoiesis	0337 Hematopoiesis.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:0337_Hematopoiesis.jpg
ch18	OxygenTransport	2323 Oxygen-hemoglobin Dissociation-c.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2323_Oxygen-hemoglobin_Dissociation-c.jpg
ch18	Hemostasis	1909 Blood Clotting.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1909_Blood_Clotting.jpg
ch18	BloodTypes	1913 ABO Blood Groups.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:1913_ABO_Blood_Groups.jpg
ch19	HeartAnatomy	2008 Internal Anatomy of the HeartN.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2008_Internal_Anatomy_of_the_HeartN.jpg
ch19	BloodFlow	2101 Blood Flow Through the Heart.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2101_Blood_Flow_Through_the_Heart.jpg
ch19	HeartValves	2011 Heart Valves.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2011_Heart_Valves.jpg
ch19	ConductionSystem	2019 Cardiac ConductionN.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2019_Cardiac_ConductionN.jpg
ch19	CardiacCycle	2027 Phases of the Cardiac Cycle.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2027_Phases_of_the_Cardiac_Cycle.jpg
ch19	TheECG	2022 Electrocardiogram.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2022_Electrocardiogram.jpg
ch20	VesselStructure	2103 Muscular and Elastic Artery Arteriole.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2103_Muscular_and_Elastic_Artery_Arteriole.jpg
ch20	VesselTypes	2102 Comparison of Artery and Vein.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2102_Comparison_of_Artery_and_Vein.jpg
ch20	BloodPressure	100 Blood Pressure.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:100_Blood_Pressure.jpg
ch20	CapillaryExchange	2108 Capillary Exchange.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2108_Capillary_Exchange.jpg
ch20	CirculatoryRoutes	2119 Pulmonary Circuit.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2119_Pulmonary_Circuit.jpg
ch20	VenousReturn	2114 Skeletal Muscle Vein Pump.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2114_Skeletal_Muscle_Vein_Pump.jpg
ch21	LymphaticOrgans	2201 Anatomy of the Lymphatic System.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2201_Anatomy_of_the_Lymphatic_System.jpg
ch21	LinesOfDefense	2211 Cooperation Between Innate and Immune Responses.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2211_Cooperation_Between_Innate_and_Immune_Responses.jpg
ch21	Inflammation	2213 Inflammatory Process.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2213_Inflammatory_Process.jpg
ch21	TCells	Impact of lymph node stromal cells on T cell immunity.png	Harlé, G.; Kowalski, C.; Garnier, L.; Hugues, S.		CC BY 4.0
ch21	BCellsAntibodies	T independent B cell Activation.png	סתו כסלו		CC BY-SA 4.0
ch21	ImmunityTypes	Lymphatic system immune response.jpg	SGUL lymres		CC BY-SA 4.0
ch22	RespiratoryTract	2301 Major Respiratory Organs.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2301_Major_Respiratory_Organs.jpg
ch22	TheAlveolus	2309 The Respiratory Zone.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2309_The_Respiratory_Zone.jpg
ch22	BreathingMechanics	1113 The Diaphragm.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:1113_The_Diaphragm.jpg
ch22	GasExchange	Pulmonary Alveolus (NIH BioArt 567).png	NIH NIAID		CC BY 4.0
ch22	GasTransport	2325 Carbon Dioxide Transport.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2325_Carbon_Dioxide_Transport.jpg
ch22	LungVolumes	2317 Spirometry and Respiratory Volumes.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2317_Spirometry_and_Respiratory_Volumes.jpg
ch23	DigestiveTract	2401 Components of the Digestive System.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2401_Components_of_the_Digestive_System.jpg
ch23	Peristalsis	2404 PeristalsisN.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2404_PeristalsisN.jpg
ch23	TheStomach	2414 Stomach.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2414_Stomach.jpg
ch23	SmallIntestineVilli	2417 Small IntestineN.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2417_Small_IntestineN.jpg
ch23	AccessoryOrgans	2422 Accessory Organs.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2422_Accessory_Organs.jpg
ch23	ChemicalDigestion	2426 Mechanical and Chemical DigestionN.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2426_Mechanical_and_Chemical_DigestionN.jpg
ch24	AnabolismCatabolism	103 Metabolism.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:103_Metabolism.jpg
ch24	CellularRespiration	2503 Cellular Respiration.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2503_Cellular_Respiration.jpg
ch24	MetabolicStates	2522 The Postabsorptive Stage.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2522_The_Postabsorptive_Stage.jpg
ch24	SixNutrients	2024 Agricultural Outlook Forum - Field Trip (20240214-USDA-OC-CDP-0011).jpg	USDAgov		Public domain
ch24	Vitamins	J. C. Drummond, The Nomenclature of the So-called Accessory Food Factors (Vitamins), 1920.png	Jack Drummond		Public domain
ch24	EnergyBalance	103 Metabolism.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:103_Metabolism.jpg
ch25	UrinarySystem	Urinary system.jpg	Robystarm07		CC0
ch25	KidneyAnatomy	2610 The Kidney.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2610_The_Kidney.jpg
ch25	TheNephron	2611 Blood Flow in the Nephron.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2611_Blood_Flow_in_the_Nephron.jpg
ch25	UrineFormation	2618 Nephron Secretion Reabsorption.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2618_Nephron_Secretion_Reabsorption.jpg
ch25	HormonalControl	2610 The Kidney.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2610_The_Kidney.jpg
ch25	Micturition	2605 The Bladder.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2605_The_Bladder.jpg
ch26	FluidCompartments	2702 Fluid Compartments ICF ECF.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2702_Fluid_Compartments_ICF_ECF.jpg
ch26	Electrolytes	2705 Sodium Potassium Pump.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2705_Sodium_Potassium_Pump.jpg
ch26	pHBuffers	2714 Respiratory Regulation of Blood.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2714_Respiratory_Regulation_of_Blood.jpg
ch26	AcidBaseControl	215 Acids and Bases-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:215_Acids_and_Bases-01.jpg
ch26	AcidBaseDisorders	2716 Symptoms of Acidosis Alkalosis.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2716_Symptoms_of_Acidosis_Alkalosis.jpg
ch27	MaleAnatomy	Reproductive system - Male genital apparatus -- Smart-Servier.png	Laboratoires Servier		CC BY-SA 3.0
ch27	Spermatogenesis	A diagram showing the pattern of spermatogenesis in G. caespitosa.png	Lu Y, Aitken RJ, Lin M		CC BY 4.0
ch27	FemaleAnatomy	Blausen 0399 FemaleReproSystem 01.png	BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014).		CC BY 3.0
ch27	Oogenesis	Parasite160001-fig6 - Oogenesis in Crepidostomum metoecus (Digenea) (diagram).png	Samuel Greani, Yann Quilichini and Bernard Marchand		CC BY 4.0
ch27	MenstrualCycle	Hormones in menstrual cycle.png	Mikael Häggström		Public domain
ch27	Meiosis	Cell division - Meiosis -- Smart-Servier.jpg	Laboratoires Servier		CC BY-SA 3.0
ch28	Fertilization	2901 Sperm Fertilization.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2901_Sperm_Fertilization.jpg
ch28	EarlyDevelopment	2903 Preembryonic Cleavages-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2903_Preembryonic_Cleavages-02.jpg
ch28	GermLayers	2908 Germ Layers-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2908_Germ_Layers-02.jpg
ch28	FetalTimeline	2904 Preembryonic Development-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2904_Preembryonic_Development-02.jpg
ch28	PregnancyBirth	2910 The Placenta-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2910_The_Placenta-02.jpg
ch28	Inheritance	2925 Autosomal Dominant Inheritance.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2925_Autosomal_Dominant_Inheritance.jpg
